 Copper example                                         Feff 6L.02    potph 4.12
 Abs   Z=29 Rmt= 1.291 Rnm= 1.427 K shell
 Pot 1 Z=29 Rmt= 1.275 Rnm= 1.395
  9.500  3.2467E-01  5.7764E-01 -1.3438E+01  0.9285E+00  1.5692E+01  9.5729E+00
 10.000  1.5053E-01  5.2820E-01 -1.3548E+01  0.9204E+00  1.6868E+01  1.0067E+01
 11.000 -1.7700E-01  4.3898E-01 -1.3763E+01  0.9036E+00  1.9323E+01  1.1058E+01
 12.000 -4.8138E-01  3.6411E-01 -1.3979E+01  0.8915E+00  2.1906E+01  1.2051E+01
 13.000 -7.6465E-01  3.0378E-01 -1.4202E+01  0.8857E+00  2.4612E+01  1.3045E+01
 14.000 -1.0232E+00  2.5485E-01 -1.4409E+01  0.8807E+00  2.7432E+01  1.4040E+01
 15.000 -1.2637E+00  2.1592E-01 -1.4625E+01  0.8776E+00  3.0362E+01  1.5036E+01
 16.000 -1.4878E+00  1.8452E-01 -1.4822E+01  0.8768E+00  3.3396E+01  1.6033E+01
 17.000 -1.6934E+00  1.5833E-01 -1.5020E+01  0.8750E+00  3.6529E+01  1.7030E+01
 18.000 -1.8878E+00  1.3829E-01 -1.5218E+01  0.8747E+00  3.9759E+01  1.8028E+01
 19.000 -2.0671E+00  1.1891E-01 -1.5389E+01  0.8744E+00  4.3080E+01  1.9026E+01
 20.000 -2.2318E+00  1.0429E-01 -1.5593E+01  0.8729E+00  4.6490E+01  2.0024E+01
